Program Time [s],data 0
28.0455,9.77076
28.0575,9.79232
28.0695,9.79711
28.0815,9.82345
28.0935,9.71807
28.1055,9.78274
28.1175,9.74202
28.1295,9.71328
28.1415,9.83304
28.1535,9.7995
28.1655,9.81148
28.1775,9.83782
28.1895,9.79471
28.2015,9.81148
28.2135,9.83064
28.2256,9.78513
28.2375,9.83304
28.2495,9.81866
28.2615,9.79711
28.2735,9.80429
28.2855,9.84022
28.2975,9.79471
28.3095,9.79232
28.3215,9.78753
28.3335,9.81387
28.3455,9.84501
28.3575,9.8474
28.3695,9.80669
28.3815,9.80429
28.3935,9.77795
28.4055,9.84022
28.4175,9.76597
28.4295,9.7995
28.4415,9.81387
28.4535,9.80908
28.4655,9.86177
28.4775,9.80429
28.4895,9.8498
28.5015,9.81387
28.5135,9.82585
28.5255,9.77076
28.5375,9.82824
28.5495,9.82585
28.5615,9.88573
28.5735,9.81148
28.5855,9.87135
28.5975,9.73723
28.6095,9.85938
28.6215,9.78513
28.6335,9.82106
28.6455,9.81627
28.6575,9.82824
28.6695,9.85698
28.6815,9.74921
28.6935,9.82824
28.7055,9.79711
28.7175,9.78034
28.7295,9.74681
28.7415,9.83543
28.7535,9.7995
28.7655,9.85698
28.7775,9.81387
28.7895,9.82824
28.8015,9.78992
28.8135,9.86417
28.8255,9.79232
28.8375,9.78992
28.8495,9.83543
28.8615,9.81627
28.8735,9.86896
28.8855,9.73244
28.8975,9.8474
28.9095,9.76118
28.9215,9.88093
28.9335,9.82345
28.9455,9.7995
28.9575,9.76837
28.9695,9.79711
28.9815,9.72286
28.9935,9.87375
29.0055,9.79711
29.0175,9.77316
29.0294,9.7995
29.0415,9.82345
29.0535,9.72526
29.0655,9.82824
29.0775,9.79232
29.0895,9.81148
29.1015,9.84501
29.1135,9.82106
29.1255,9.79232
29.1375,9.81148
29.1495,9.81627
29.1615,9.86177
29.1735,9.8019
29.1855,9.8019
29.1975,9.82345
29.2095,9.84022
29.2215,9.77316
29.2335,9.81627
29.2455,9.86896
29.2575,9.77555
29.2694,9.78513
29.2815,9.80429
29.2935,9.80908
29.3055,9.79232
29.3175,9.81866
29.3295,9.76358
29.3414,9.83064
29.3535,9.82345
29.3655,9.85938
29.3775,9.80908
29.3895,9.76358
29.4015,9.79232
29.4135,9.83782
29.4255,9.84022
29.4375,9.83064
29.4495,9.76358
29.4615,9.83543
29.4735,9.78034
29.4855,9.7995
29.4975,9.79232
29.5095,9.754
29.5215,9.79711
29.5335,9.84261
29.5455,9.85219
29.5574,9.87854
29.5695,9.81627
29.5815,9.71328
29.5935,9.78753
29.6055,9.82106
29.6175,9.81627
29.6294,9.79471
29.6415,9.81387
29.6535,9.81148
29.6655,9.73723
29.6775,9.79232
29.6895,9.77316
29.7015,9.80908
29.7135,9.82345
29.7255,9.80429
29.7374,9.82824
29.7495,9.72526
29.7615,9.79232
29.7734,9.81627
29.7855,9.81387
29.7975,9.81387
29.8094,9.82824
29.8215,9.81387
29.8335,9.82345
29.8454,9.79711
29.8575,9.81866
29.8695,9.82345
29.8815,9.81148
29.8935,9.79232
29.9055,9.77316
29.9175,9.86177
29.9295,9.8019
29.9415,9.85219
29.9534,9.74442
29.9655,9.75879
29.9775,9.82585
29.9895,9.78992
30.0015,9.86896
30.0135,9.78753
30.0255,9.81387
30.0375,9.7516
30.0495,9.74681
30.0615,9.78753
30.0735,9.8498
30.0855,9.78513
30.0975,9.87614
30.1095,9.76118
30.1215,9.83543
30.1335,9.79711
30.1455,9.78513
30.1575,9.79471
30.1695,9.88333
30.1815,9.77076
30.1935,9.82585
30.2055,9.79471
30.2175,9.82585
30.2295,9.82824
30.2414,9.71328
30.2535,9.76597
30.2655,9.81387
30.2775,9.82585
30.2895,9.80429
30.3015,9.86656
30.3134,9.77795
30.3255,9.83064
30.3375,9.8019
30.3494,9.83304
30.3615,9.78274
30.3735,9.80669
30.3855,9.81387
30.3975,9.79471
30.4095,9.88333
30.4215,9.74442
30.4335,9.80429
30.4454,9.79232
30.4575,9.78034
30.4695,9.85459
30.4814,9.82824
30.4935,9.81148
30.5055,9.78513
30.5175,9.80908
30.5295,9.78992
30.5415,9.81627
30.5534,9.7995
30.5655,9.76837
30.5775,9.82106
30.5895,9.84022
30.6015,9.81866
30.6135,9.78992
30.6255,9.81866
30.6375,9.77555
30.6495,9.74921
30.6615,9.81148
30.6735,9.76837
30.6854,9.79232
30.6975,9.83543
30.7095,9.7995
30.7214,9.8498
30.7335,9.80908
30.7455,9.78753
30.7574,9.74442
30.7695,9.85219
30.7815,9.82824
30.7935,9.86656
30.8055,9.77795
30.8175,9.83782
30.8295,9.86656
30.8415,9.77795
30.8535,9.83064
30.8655,9.86896
30.8775,9.83782
30.8895,9.7995
30.9015,9.81148
30.9135,9.81866
30.9255,9.85219
30.9375,9.82345
30.9495,9.80429
30.9615,9.78034
30.9735,9.75879
30.9855,9.79711
30.9975,9.81627
31.0095,9.84501
31.0215,9.83064
31.0335,9.82824
31.0455,9.78753
31.0575,9.72286
31.0695,9.77316
31.0815,9.87614
31.0935,9.79471
31.1055,9.78992
31.1175,9.81148
31.1295,9.83304
31.1415,9.84261
31.1535,9.77076
31.1655,9.79711
31.1775,9.86656
31.1895,9.83543
31.2015,9.81627
31.2135,9.80429
